feature_type,feature_code,geometry,created_at
﻿Trạm điện,tram_dien,"POINT [108.2544869184494, 15.974846711696628]",2025-11-22T14:27:29.567Z
﻿Trạm điện,tram_dien,"POINT [108.2545030117035, 15.97529539265779]",2025-11-22T14:27:30.491Z
﻿Trạm điện,tram_dien,"POINT [108.25515747070314, 15.97333562933767]",2025-11-22T14:31:46.359Z
﻿Trạm điện,tram_dien,"POINT [108.25525403022768, 15.97442897334585]",2025-11-22T14:31:49.255Z
﻿Trạm sạc,tram_sac,"POINT [108.2078003883362, 15.982056428793552]",2025-11-22T14:28:25.656Z
﻿Trạm sạc,tram_sac,"POINT [108.21062207221986, 16.02026668277291]",2025-11-22T14:28:46.013Z
﻿Trạm sạc,tram_sac,"POINT [108.2071352005005, 16.00425123650341]",2025-11-22T14:28:35.293Z
﻿Trạm sạc,tram_sac,"POINT [108.2076394557953, 16.01809595866491]",2025-11-22T14:30:29.246Z
﻿Trạm sạc,tram_sac,"POINT [108.19430887699129, 15.992927241954954]",2025-11-22T14:29:05.686Z
﻿Cột điện,cot_dien,"POINT [108.25314044952394, 15.97770896953419]",2025-11-22T14:34:05.000Z
﻿Cột điện,cot_dien,"POINT [108.25133800506593, 15.977605825818639]",2025-11-22T14:34:03.786Z
﻿Đường ống điện,duong_ong_dien,"LINESTRING [[108.25135946273805, 15.97742016699669], [108.25134873390199, 15.975996776972671], [108.25133800506593, 15.974820925403936], [108.25133800506593, 15.974098907859508]]",2025-11-22T14:33:53.976Z
﻿Cột điện,cot_dien,"POINT [108.25457811355592, 15.97756456831755]",2025-11-22T14:34:06.538Z
﻿Cột điện,cot_dien,"POINT [108.25878381729127, 15.97766771205436]",2025-11-22T14:35:55.454Z
﻿Cột điện,cot_dien,"POINT [108.2562303543091, 15.977605825818639]",2025-11-22T14:35:54.415Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25150966644287, 15.975357279607968]",2025-11-22T14:36:12.253Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25645566348602, 15.976234052844756]",2025-11-22T14:37:05.188Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25764656428862, 15.975842103554136]",2025-11-22T14:37:06.440Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26153039932252, 15.97826594467944]",2025-11-22T14:37:09.598Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26378345489503, 15.980927026752065]",2025-11-22T14:37:21.927Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26631546020509, 15.978369088054725]",2025-11-22T14:37:22.988Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.24996471405031, 15.982082214153845]",2025-11-22T14:37:26.495Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.24460029602052, 15.978039029066661]",2025-11-22T14:37:27.370Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.21431810371399, 16.019305043150275]",2025-11-22T14:37:46.466Z
﻿Trạm điện,tram_dien,"POINT [108.28665733337404, 15.913130615866464]",2025-11-22T14:57:39.295Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.26394438743593, 15.978018400361835]",2025-11-22T14:58:02.852Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.25464248657227, 15.977868842188224]",2025-11-22T14:57:56.542Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25766801834108, 15.979379890318917]",2025-11-22T14:59:52.075Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.24756145477296, 15.972799269716226]",2025-11-22T15:00:01.237Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.25994253158571, 15.97929737603977]",2025-11-22T14:59:50.729Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.2651138305664, 15.98282483110397]",2025-11-22T14:59:53.995Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26135873794557, 15.98210284243969]",2025-11-22T14:59:56.326Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26268911361694, 15.984206916421224]",2025-11-22T14:59:57.274Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26301097869874, 15.969044712127653]",2025-11-22T15:00:04.923Z
﻿Trụ chữa cháy,tru_chua_chay,"POINT [108.26103687286378, 15.965991503500774]",2025-11-22T15:00:04.133Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2586979866028, 15.994768208243404]",2025-11-22T15:01:00.480Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.24090957641603, 15.985795271335027]",2025-11-22T15:01:07.038Z
﻿Đèn giao thông,den_giao_thong,"POINT [108.2557797431946, 15.983031113100878]",2025-11-22T15:00:54.767Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.24965357780458, 15.97761614019259], [108.26098322868347, 15.97775022700552]]",2025-11-22T15:02:04.578Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25155258178711, 15.974325827939847], [108.25341939926149, 15.974346457025296]]",2025-11-22T15:01:51.288Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.256573677063, 15.97563577064699], [108.256573677063, 15.97775022700552]]",2025-11-22T15:01:58.033Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.24882745742799, 15.978039029066661], [108.24883818626405, 15.981865617024104]]",2025-11-22T15:02:23.082Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.24885964393617, 15.97861663193849], [108.25348377227785, 15.97858568896977]]",2025-11-22T15:02:26.570Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.24885964393617, 15.97923549030809], [108.2535481452942, 15.979225176017621]]",2025-11-22T15:02:31.210Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.24884891510011, 15.978987947189934], [108.25355887413026, 15.978998261492642]]",2025-11-22T15:02:35.905Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25016856193544, 15.981834674557861], [108.2502329349518, 15.978059657769377]]",2025-11-22T15:02:45.225Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.24995398521425, 15.981762475451342], [108.25002908706666, 15.978039029066661]]",2025-11-22T15:02:40.654Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25638055801393, 15.978183429940934], [108.25649857521059, 15.98051445820635]]",2025-11-22T15:02:53.137Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.25514674186708, 15.97809060081944], [108.26089739799501, 15.978142172558913]]",2025-11-22T15:02:49.503Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.26089739799501, 15.980586657763261], [108.26086521148683, 15.978224687314443]]",2025-11-22T15:03:03.885Z
﻿Cống thoát nước,cong_thoat_nuoc,"LINESTRING [[108.26109051704408, 15.977719283902823], [108.2666051387787, 15.977791484468339]]",2025-11-22T15:03:16.818Z
﻿Trạm điện,tram_dien,"POINT [108.25620889663698, 15.9814427362378]",2025-11-22T15:03:55.233Z
﻿Trạm điện,tram_dien,"POINT [108.25537204742432, 15.98131896608246]",2025-11-22T15:03:54.116Z
﻿Đèn đường,den_duong,"POINT [108.25562953948976, 15.982680433579572]",2025-11-22T15:04:04.174Z
﻿Đèn đường,den_duong,"POINT [108.2555651664734, 15.981999700989215]",2025-11-22T15:04:04.859Z
﻿Đèn đường,den_duong,"POINT [108.25520038604738, 15.980431944395102]",2025-11-22T15:04:08.439Z
﻿Đèn đường,den_duong,"POINT [108.25532913208009, 15.981050797149878]",2025-11-22T15:04:06.537Z
﻿Đèn đường,den_duong,"POINT [108.25507164001466, 15.979874975279165]",2025-11-22T15:04:09.294Z
﻿Đèn đường,den_duong,"POINT [108.25487852096559, 15.979318004612757]",2025-11-22T15:04:09.854Z
﻿Đèn đường,den_duong,"POINT [108.25603723526001, 15.981195195850546]",2025-11-22T15:04:14.997Z
﻿Đèn đường,den_duong,"POINT [108.2564663887024, 15.982721690025759]",2025-11-22T15:04:12.960Z
﻿Đèn đường,den_duong,"POINT [108.25453519821168, 15.97861663193849]",2025-11-22T15:04:12.005Z
﻿Đèn đường,den_duong,"POINT [108.25633764266969, 15.982144099004984]",2025-11-22T15:04:13.701Z
﻿Đèn đường,den_duong,"POINT [108.25479269027711, 15.978884804133662]",2025-11-22T15:04:10.673Z
﻿Đèn đường,den_duong,"POINT [108.25597286224367, 15.980844513110975]",2025-11-22T15:04:16.707Z
﻿Đèn đường,den_duong,"POINT [108.25586557388307, 15.980452572851108]",2025-11-22T15:04:17.231Z
﻿Đèn đường,den_duong,"POINT [108.25565099716188, 15.979483033119996]",2025-11-22T15:04:18.363Z
﻿Đèn đường,den_duong,"POINT [108.25541496276857, 15.978492860034889]",2025-11-22T15:04:20.331Z
﻿Đèn đường,den_duong,"POINT [108.2555651664734, 15.978719775133015]",2025-11-22T15:04:19.513Z
﻿Đèn đường,den_duong,"POINT [108.25552225112916, 15.979070461596685]",2025-11-22T15:04:18.959Z
﻿Đèn đường,den_duong,"POINT [108.25582265853883, 15.979936860813053]",2025-11-22T15:04:17.749Z
﻿Đèn đường,den_duong,"POINT [108.2553505897522, 15.978204058628737]",2025-11-22T15:04:21.039Z
﻿Đèn đường,den_duong,"POINT [108.25425624847414, 15.977523310807939]",2025-11-22T15:04:25.703Z
﻿Đèn đường,den_duong,"POINT [108.25344085693361, 15.977523310807939]",2025-11-22T15:04:26.413Z
﻿Đèn đường,den_duong,"POINT [108.25266838073732, 15.977482053289815]",2025-11-22T15:04:27.167Z
﻿Đèn đường,den_duong,"POINT [108.25168132781984, 15.97742016699669]",2025-11-22T15:04:27.929Z
﻿Đèn đường,den_duong,"POINT [108.25060844421388, 15.977358280684431]",2025-11-22T15:04:28.599Z
﻿Đèn đường,den_duong,"POINT [108.24975013732912, 15.97756456831755]",2025-11-22T15:04:29.841Z
﻿Đèn đường,den_duong,"POINT [108.24777603149415, 15.977502682049947]",2025-11-22T15:04:31.350Z
﻿Đèn đường,den_duong,"POINT [108.24895620346071, 15.977482053289815]",2025-11-22T15:04:30.767Z
﻿Đèn đường,den_duong,"POINT [108.24841976165771, 15.977502682049947]",2025-11-22T15:04:32.958Z
﻿Đèn đường,den_duong,"POINT [108.24618816375734, 15.977358280684431]",2025-11-22T15:04:33.847Z
﻿Đèn đường,den_duong,"POINT [108.24678897857667, 15.977482053289815]",2025-11-22T15:04:32.195Z
﻿Đèn đường,den_duong,"POINT [108.24556589126588, 15.977440795763194]",2025-11-22T15:04:36.187Z
﻿Đèn đường,den_duong,"POINT [108.2447934150696, 15.977399538228061]",2025-11-22T15:04:37.381Z
﻿Đèn đường,den_duong,"POINT [108.25164377689363, 15.978085443644755]",2025-11-22T15:04:44.733Z
﻿Đèn đường,den_duong,"POINT [108.24419260025024, 15.97742016699669]",2025-11-22T15:04:38.837Z
﻿Đèn đường,den_duong,"POINT [108.25124680995943, 15.978039029066661]",2025-11-22T15:04:44.150Z
﻿Đèn đường,den_duong,"POINT [108.25228214263917, 15.978075129295]",2025-11-22T15:04:45.430Z
﻿Đèn đường,den_duong,"POINT [108.25352132320405, 15.978059657769377]",2025-11-22T15:04:46.685Z
﻿Đèn đường,den_duong,"POINT [108.25300097465517, 15.97806997211992]",2025-11-22T15:04:47.243Z
﻿Đèn đường,den_duong,"POINT [108.25060307979585, 15.978075129295]",2025-11-22T15:04:50.876Z
﻿Đèn đường,den_duong,"POINT [108.25090885162355, 15.978100915168394]",2025-11-22T15:04:50.074Z
﻿Đèn đường,den_duong,"POINT [108.25259327888489, 15.97806997211992]",2025-11-22T15:04:47.894Z
﻿Đèn đường,den_duong,"POINT [108.2498735189438, 15.978075129295]",2025-11-22T15:04:52.342Z
﻿Đèn đường,den_duong,"POINT [108.25024366378786, 15.978085443644755]",2025-11-22T15:04:51.792Z
